"My_intwbdy","Distance","Shape_Leng","Shape_Area","My_intwb_1","FID_1","OGF_ID","Area_sqm","Perim_m","FID_2","OGF_ID_1","PDEM_North"
129905,0,18840,7612200,0,0,0,0,0,0,0,NA
130010,0,18120,7441200,0,0,0,0,0,0,0,NA
130187,0,46560,14226300,0,0,0,0,0,0,0,NA
131801,0,23640,5834700,0,0,0,0,0,0,0,NA
131802,0,151140,291808800,0,0,0,0,0,0,0,NA
134145,0,43920,37308600,0,0,0,0,0,0,0,NA
134182,0,12780,4006800,0,0,0,0,0,0,0,NA
134185,0,83040,84670200,0,0,0,0,0,0,0,NA
130342,0,96900,43200900,0,0,0,0,0,0,0,NA
130373,0,60060,24046200,0,0,0,0,0,0,0,NA
130515,0,30780,12109500,0,0,0,0,0,0,0,NA
134212,0,13260,2329200,0,0,0,0,0,0,0,NA
134244,0,50940,32313600,0,0,0,0,0,0,0,NA
136269,0,63180,47745000,0,0,0,0,0,0,0,NA
130745,0,13140,4036500,0,0,0,0,0,0,0,NA
130862,0,89460,55305000,0,0,0,0,0,0,0,NA
130869,0,21720,7213500,0,0,0,0,0,0,0,NA
134342,0,65340,49643100,0,0,0,0,0,0,0,NA
134345,0,21840,8625600,0,0,0,0,0,0,0,NA
134389,0,70560,52560900,0,0,0,0,0,0,0,NA
134430,0,36840,17905500,0,0,0,0,0,0,0,NA
134522,0,63120.0121024,39611700.1815,0,0,0,0,0,0,0,NA
130988,0,43740,23879700,0,0,0,0,0,0,0,NA
131133,0,22020,7715700,0,0,0,0,0,0,0,NA
134595,0,40320,17175600,0,0,0,0,0,0,0,NA
134659,0,45720,18487800,0,0,0,0,0,0,0,NA
134778,0,27000,13489200,0,0,0,0,0,0,0,NA
131237,0,33360,12352500,0,0,0,0,0,0,0,NA
134837,0,11160,2174400,0,0,0,0,0,0,0,NA
134866,0,15660,5497200,0,0,0,0,0,0,0,NA
134884,0,127184.653037,85373844.5115,0,0,0,0,0,0,0,NA
136295,0,202495.352042,286839333.964,0,0,0,0,0,0,0,NA
136303,0,6180,920700,0,0,0,0,0,0,0,NA
131343,53.45539169,939660,71213400,0,0,0,0,0,0,0,NA
131409,0,98160,70654500,0,0,0,0,0,0,0,NA
131410,0,25560,10688400,0,0,0,0,0,0,0,NA
131445,0,29400,11366100,0,0,0,0,0,0,0,NA
131943,0,59485.9096753,19131564.6786,0,0,0,0,0,0,0,NA
131953,0,100525.909675,55301135.3214,0,0,0,0,0,0,0,NA
134998,92.88996541,82380.0121024,75653999.8185,0,0,0,0,0,0,0,NA
134970,0,31860,13941900,0,0,0,0,0,0,0,NA
134971,0,34200,12448800,0,0,0,0,0,0,0,NA
134978,0,25140,10905300,0,0,0,0,0,0,0,NA
134997,0,191340,222009300,0,0,0,0,0,0,0,NA
134999,0,12000,3291300,0,0,0,0,0,0,0,NA
135022,0,9660,2757600,0,0,0,0,0,0,0,NA
